Date,Open,High,Low,Close,Volume,Adj Close,simple 10-day moving average,weighted 10-day moving average,momentum,%K,%D,output,close of yesterday,close of two days before,close of three days before,close of four days before,close of five days before,,,,,,,
2011/3/9,591.00003,594.510005,585.750036,591.770011,4297600,296.181187,601.9730122,598.5374635,-17.050011,17.98619455,21.647657,0,592.309998,591.660014,600.619978,609.560004,600.790035,,,,,,,
2011/3/10,585.439983,586.620015,579.450007,580.299986,6249900,290.440433,599.1210086,594.5969133,-29.740006,2.137236342,19.35719022,0,591.770011,592.309998,591.660014,600.619978,609.560004,,,,,,,
2011/3/11,578.220037,579.999993,573.330034,576.710013,6057900,288.64365,595.7880107,590.5221869,-36.690019,7.365396863,17.18056536,0,580.299986,591.770011,592.309998,591.660014,600.619978,,,,,,,
2011/3/14,572.799986,578.290035,568.019981,569.989994,5626500,285.280277,591.4470069,585.8316384,-30.770042,3.847679311,13.52577265,0,576.710013,580.299986,591.770011,592.309998,591.660014,,,,,,,
2011/3/15,557.499994,571.00003,555.499981,569.560004,8003100,285.065067,588.3270037,581.8521833,-31.230031,25.11165156,15.57896249,0,569.989994,576.710013,580.299986,591.770011,592.309998,,,,,,,
2011/3/16,568.009981,569.789999,551.280023,557.100003,7589400,278.82883,583.9580005,576.1745468,-52.460001,9.666135996,14.98957709,0,569.560004,569.989994,576.710013,580.299986,591.770011,,,,,,,
2011/3/17,564.480006,569.000018,560.53998,561.360021,5792800,280.960972,579.1380022,572.0658233,-39.259957,17.46966876,12.74376802,1,557.100003,569.560004,569.989994,576.710013,580.299986,,,,,,,
2011/3/18,564.640002,567.989982,559.74,561.060029,6590600,280.810825,575.1820073,568.778919,-30.599985,18.6605717,13.10107733,0,561.360021,557.100003,569.560004,569.989994,576.710013,,,,,,,
2011/3/21,570.219988,579.799998,569.020017,576.500018,6035700,288.538547,573.6660077,569.0185573,-15.80998,54.00432052,17.27292772,1,561.060029,561.360021,557.100003,569.560004,569.989994,,,,,,,
2011/3/22,577.269999,579.230012,572.509993,577.319998,3770000,288.948948,572.1670077,569.6829192,-14.450013,60.23591451,21.64847701,1,576.500018,561.060029,561.360021,557.100003,569.560004,,,,,,,
2011/3/23,575.189989,582.449995,572.000006,582.160002,3628700,291.371372,571.2060068,571.4998273,1.860016,87.37970003,28.58782756,1,577.319998,576.500018,561.060029,561.360021,557.100003,,,,,,,
2011/3/24,585.429983,588.390032,578.800023,586.890008,4193200,293.738743,571.865009,574.3514639,10.179995,95.95789912,37.96989384,1,582.160002,577.319998,576.500018,561.060029,561.360021,,,,,,,
2011/3/25,586.880008,586.910008,579.240012,579.74,5711000,290.16016,572.1680077,575.7832804,9.750006,76.69083831,44.90243798,0,586.890008,582.160002,577.319998,576.500018,561.060029,,,,,,,
2011/3/28,582.070004,584.989994,574.71,575.359985,4432300,287.96796,572.7050068,576.3636399,5.799981,64.88805217,51.00647527,0,579.74,586.890008,582.160002,577.319998,576.500018,,,,,,,
2011/3/29,576.00003,581.890008,573.009981,581.730012,3206300,291.156162,573.9220076,578.0045499,24.630009,82.05330535,56.70064065,1,575.359985,579.74,586.890008,582.160002,577.319998,,,,,,,
2011/3/30,584.380008,585.499981,580.579979,581.840009,2841700,291.211216,576.3960082,579.4441866,20.479988,77.13781611,63.44780866,1,581.730012,575.359985,579.74,586.890008,582.160002,,,,,,,
2011/3/31,582.999981,588.159977,581.740012,586.760011,4054700,293.673679,578.9360072,581.3285507,25.699982,94.31057878,71.13189966,1,581.840009,581.730012,575.359985,579.74,586.890008,,,,,,,
